Date,Open,High,Low,Close,Adj Close,Volume
2010-11-23,36674.500000,36675.589844,36150.750000,36271.828125,36271.828125,191201100
2010-11-24,36271.828125,37085.941406,36271.828125,37079.281250,37079.281250,223098200
2010-11-25,37078.968750,37153.941406,36921.910156,36969.199219,36969.199219,54316800
2010-11-26,36944.210938,37035.000000,36642.730469,36904.531250,36904.531250,84608200
2010-11-29,36904.531250,36916.460938,36498.621094,36890.609375,36890.609375,129439600
2010-11-30,36882.890625,36946.148438,36694.718750,36817.320313,36817.320313,310921600
2010-12-01,36817.320313,37302.980469,36817.320313,37277.558594,37277.558594,157946000
2010-12-02,37279.070313,37736.250000,37255.320313,37399.468750,37399.468750,202823000
2010-12-03,37399.468750,37527.000000,37259.078125,37385.910156,37385.910156,143746800
2010-12-06,37387.679688,37758.289063,37358.039063,37737.128906,37737.128906,176284400
2010-12-07,37737.238281,38119.078125,37737.238281,37880.128906,37880.128906,219801800
2010-12-08,37881.160156,37884.000000,37520.320313,37617.769531,37617.769531,139888600
2010-12-09,37621.140625,37739.738281,37445.640625,37567.390625,37567.390625,155964200
2010-12-10,37567.390625,37677.949219,37368.089844,37677.781250,37677.781250,167268800
2010-12-13,37677.781250,38006.441406,37677.781250,37894.339844,37894.339844,114444000
2010-12-14,37889.839844,38000.871094,37826.730469,37901.039063,37901.039063,164355600
2010-12-15,37906.101563,37921.359375,37531.570313,37676.550781,37676.550781,160733000
2010-12-16,37731.328125,37843.550781,37638.691406,37832.859375,37832.859375,117490800
2010-12-17,37832.859375,38532.421875,37627.539063,37997.339844,37997.339844,278649600
2010-12-20,37997.179688,38139.179688,37865.980469,37975.480469,37975.480469,105789800
2010-12-21,37981.781250,38311.109375,37981.781250,38230.859375,38230.859375,220662200
2010-12-22,38237.500000,38243.011719,37991.398438,38172.910156,38172.910156,90583200
2010-12-23,38172.910156,38199.140625,38039.781250,38131.468750,38131.468750,81629200
2010-12-27,38081.070313,38139.839844,37833.519531,38132.851563,38132.851563,50938200
2010-12-28,38132.871094,38218.648438,38113.011719,38147.511719,38147.511719,76702600
2010-12-29,38147.511719,38271.441406,38111.011719,38230.199219,38230.199219,67122200
2010-12-30,38230.820313,38383.769531,38183.628906,38243.140625,38243.140625,68096000
2011-01-03,38552.871094,38876.761719,38536.710938,38605.800781,38605.800781,124185400
2011-01-04,38605.800781,38720.828125,38454.941406,38542.160156,38542.160156,131448400
2011-01-05,38542.160156,38699.101563,38322.140625,38696.238281,38696.238281,144782600
2011-01-06,38696.238281,38772.898438,38516.300781,38589.671875,38589.671875,145696400
2011-01-07,38597.898438,38711.738281,38346.378906,38600.859375,38600.859375,144050600
2011-01-10,38608.679688,38633.828125,38184.101563,38378.160156,38378.160156,155053400
2011-01-11,38380.769531,38562.699219,38005.960938,38028.808594,38028.808594,188106000
2011-01-12,38028.808594,38347.398438,37874.761719,37963.308594,37963.308594,172640200
2011-01-13,37963.308594,38070.191406,37896.519531,38070.191406,38070.191406,161397200
2011-01-14,38070.191406,38158.269531,37841.570313,37994.718750,37994.718750,136612400
2011-01-17,37996.160156,38213.050781,37984.550781,38096.910156,38096.910156,52440600
2011-01-18,38095.679688,38247.070313,37953.859375,38151.300781,38151.300781,195686400
2011-01-19,38160.390625,38357.660156,37766.179688,37810.160156,37810.160156,144684600
2011-01-20,37815.140625,37815.140625,37361.320313,37584.679688,37584.679688,180803800
2011-01-21,37584.679688,37731.050781,37321.109375,37321.109375,37321.109375,148830800
2011-01-24,37322.320313,37667.988281,37214.679688,37667.898438,37667.898438,156290400
2011-01-25,37673.781250,37816.140625,37358.718750,37470.761719,37470.761719,149678400
2011-01-26,37485.570313,37647.929688,37330.101563,37585.398438,37585.398438,166526200
2011-01-27,37585.398438,37709.921875,37437.941406,37447.699219,37447.699219,157778200
2011-01-28,37445.710938,37473.781250,36634.199219,36839.718750,36839.718750,257168600
2011-01-31,36843.089844,36982.238281,36622.570313,36982.238281,36982.238281,183413000
2011-02-01,36983.570313,37618.101563,36983.570313,37618.101563,37618.101563,210831400
2011-02-02,37619.179688,38014.878906,37539.980469,37948.750000,37948.750000,199702200
2011-02-03,37901.460938,37904.648438,37667.441406,37739.078125,37739.078125,200455400
2011-02-04,37754.269531,37764.300781,37451.839844,37451.839844,37451.839844,108142400
2011-02-08,37457.421875,37566.050781,37301.148438,37565.648438,37565.648438,153034600
2011-02-09,37567.000000,37570.359375,36910.761719,36986.941406,36986.941406,191621800
2011-02-10,36986.941406,37018.179688,36614.960938,36652.128906,36652.128906,226111400
2011-02-11,36648.441406,37034.250000,36523.738281,37011.488281,37011.488281,181228200
2011-02-14,37018.558594,37082.898438,36900.339844,36998.929688,36998.929688,154647400
2011-02-15,37000.179688,37177.000000,36835.179688,36951.250000,36951.250000,133573400
2011-02-16,36946.500000,37179.500000,36946.500000,37074.929688,37074.929688,153520600
2011-02-17,37074.929688,37290.648438,37024.531250,37226.429688,37226.429688,154638200
2011-02-18,37228.261719,37664.781250,37191.218750,37522.300781,37522.300781,171699600
2011-02-21,37522.300781,37550.378906,37170.031250,37242.050781,37242.050781,47497800
2011-02-22,37241.148438,37253.019531,36763.910156,36781.550781,36781.550781,226412800
2011-02-23,36808.121094,36865.160156,36325.941406,36464.070313,36464.070313,230524200
2011-02-24,36464.070313,36633.070313,36318.550781,36446.558594,36446.558594,187165600
2011-02-25,36449.980469,36888.511719,36445.179688,36880.199219,36880.199219,160198800
2011-02-28,36880.199219,37199.628906,36880.199219,37019.699219,37019.699219,249417400
2011-03-01,37019.699219,37172.890625,36768.089844,36768.089844,36768.089844,152837400
2011-03-02,36768.089844,36912.351563,36689.839844,36863.531250,36863.531250,151720600
2011-03-03,36889.468750,37217.210938,36889.468750,37132.980469,37132.980469,167830800
2011-03-04,37132.980469,37231.980469,36760.730469,36900.839844,36900.839844,117055800
2011-03-07,36901.781250,36945.261719,36572.980469,36603.300781,36603.300781,132905800
2011-03-08,36603.300781,36825.679688,36557.750000,36688.121094,36688.121094,139264600
2011-03-09,36690.558594,36690.558594,36430.140625,36450.191406,36450.191406,170581200
2011-03-10,36440.140625,36440.140625,35770.089844,35891.410156,35891.410156,166296200
2011-03-11,35888.460938,36092.531250,35671.929688,36091.218750,36091.218750,119473400
2011-03-14,36088.890625,36205.878906,35809.351563,36205.761719,36205.761719,111235200
2011-03-15,36203.781250,36203.781250,35538.421875,36012.171875,36012.171875,145341200
2011-03-16,36010.851563,36058.539063,35559.949219,35655.308594,35655.308594,176076600
2011-03-17,35657.640625,36057.039063,35540.589844,35621.679688,35621.679688,145754200
2011-03-18,35621.679688,35827.058594,35418.500000,35418.500000,35418.500000,295064200
2011-03-22,35445.308594,35925.648438,35358.871094,35925.351563,35925.351563,144543800
2011-03-23,35933.730469,36546.621094,35933.730469,36546.621094,36546.621094,172984200
2011-03-24,36544.769531,36883.261719,36539.128906,36872.378906,36872.378906,219732000
2011-03-25,36874.441406,36949.738281,36719.531250,36784.269531,36784.269531,123681400
2011-03-28,36784.269531,36900.988281,36728.878906,36767.859375,36767.859375,85112200
2011-03-29,36770.531250,36875.121094,36656.410156,36795.890625,36795.890625,134332800
